Species,Period,Status,Site,Status_Site,ID,total.blastate.ml,surface.area.cm2,mg.prot..ml,cells..ml,ug.chla..ml,g.AFDW..ml,CAT,POX,SOD,PPO,MEL
M. capitata,2014 Oct,Bleaching,Lilipuna,Bleaching-Lilipuna,15,21,13.474771,0.192039663,52000,0.255016667,0.01,136.3350023,NA,12898.42333,0.309675342,0.010791087
M. capitata,2014 Oct,Bleaching,Lilipuna,Bleaching-Lilipuna,16,24.5,9.110854,0.27275747,962083,1.792558889,0.01,422.4355614,0.588588264,18533.07132,0.350134557,0.050332911
M. capitata,2014 Oct,Bleaching,Lilipuna,Bleaching-Lilipuna,17,22.5,8.046484,0.342569648,651333,1.501464167,0.011,407.7211049,1.482794636,17647.00002,0.333988695,0.011948621
M. capitata,2014 Oct,Bleaching,Lilipuna,Bleaching-Lilipuna,18,21.5,6.449929,0.132676751,271111,1.26461,0.01,399.4510155,1.253873612,26658.18856,0.302521887,0.014233098
M. capitata,2014 Oct,Bleaching,Lilipuna,Bleaching-Lilipuna,19,11.5,3.966399,0.151923542,79444,0.422484167,0.01,168.2744414,0.759511797,22441.82349,0.276186108,0.020851024
M. capitata,2014 Oct,Bleaching,Lilipuna,Bleaching-Lilipuna,20,19,5.35008,0.253969824,1110556,1.9427375,0.011,112.2626424,0.55685807,19640.05092,0.060528051,0.013464262
M. capitata,2014 Oct,Bleaching,Lilipuna,Bleaching-Lilipuna,21,9,5.456517,0.156885369,675000,1.213296667,0.01,32.21606131,0.566006407,14205.67132,0.170869859,0.016501943
M. capitata,2014 Oct,Bleaching,Lilipuna,Bleaching-Lilipuna,22,11.5,4.569542,0.166694595,715556,0.779115833,0.009,230.8324752,0.173676516,11984.43334,0.38391651,0.011962745
M. capitata,2014 Oct,Bleaching,Lilipuna,Bleaching-Lilipuna,23,14.5,5.669391,0.156964224,1150000,1.615313333,0.011,129.1283928,0.604590331,13521.79046,0.087621787,0.015530235
M. capitata,2014 Oct,Bleaching,Lilipuna,Bleaching-Lilipuna,24,20.5,14.752015,0.248264613,738333,1.546954167,0.01,245.7292312,0.552017259,13473.93513,0.122670502,0.01001537
M. capitata,2014 Oct,Bleaching,Lilipuna,Bleaching-Lilipuna,25,15,7.727173,0.270592409,900000,1.5838425,0.01,186.1385361,1.818807069,7481.191251,0.18833801,0.011968754
M. capitata,2014 Oct,Bleaching,Lilipuna,Bleaching-Lilipuna,26,20.5,8.330316,0.254028812,424583,1.620340556,0.01,174.4984924,0.67058392,7300.36276,0.228283888,0.009707075
M. capitata,2014 Oct,Bleaching,Lilipuna,Bleaching-Lilipuna,27,11.5,7.407862,0.205273898,881667,1.39255,0.011,237.3019212,0.015979667,18445.56462,0.35155267,0.014731415
M. capitata,2014 Oct,Bleaching,Lilipuna,Bleaching-Lilipuna,28,17,6.76924,0.13997571,820556,0.977785,0.009,186.2421253,0.133731227,16112.23696,0.142089429,0.014235403
M. capitata,2014 Oct,Bleaching,Lilipuna,Bleaching-Lilipuna,29,20.5,13.86504,0.352035204,328889,1.53176,0.01,192.512444,0.480275563,21648.96956,0.200114818,0.011020035
M. capitata,2014 Oct,Bleaching,Lilipuna,Bleaching-Lilipuna,30,10,7.83361,0.230207965,381667,1.470220833,0.011,136.3890461,0.53587705,19134.94158,0.12462257,0.024529255
M. capitata,2014 Oct,Bleaching,Lilipuna,Bleaching-Lilipuna,31,11.5,4.356668,0.198834881,525556,0.859956667,0.009,NA,0.608723871,16306.36214,0.192228591,0.016807878
M. capitata,2014 Oct,Bleaching,Lilipuna,Bleaching-Lilipuna,32,11,5.988702,0.206239641,217222,1.010223333,0.008,101.2045553,0.053246855,14382.44278,0.114100404,0.015252648
M. capitata,2014 Oct,Bleaching,Lilipuna,Bleaching-Lilipuna,33,9.5,3.540651,0.229442061,643333,1.213304167,0.009,298.8725517,0.209443261,10450.55684,0.499961334,0.01480122
M. capitata,2014 Oct,Bleaching,Lilipuna,Bleaching-Lilipuna,34,10.5,9.146333,0.295861203,377500,2.02018,0.011,75.99733186,0.322251645,8614.564642,0.211765367,0.013349798
M. capitata,2014 Oct,Bleaching,Lilipuna,Bleaching-Lilipuna,35,13.5,5.562954,0.236833839,1074444,1.919816667,0.01,85.30221535,0.221403582,17872.56109,0.644958262,0.013919954
M. capitata,2014 Oct,Bleaching,Lilipuna,Bleaching-Lilipuna,41,10.5,4.498584,0.206835702,861111,1.391985833,0.008,109.49021,0.259104253,13142.31757,0.133731227,0.01900875
M. capitata,2014 Oct,Bleaching,Lilipuna,Bleaching-Lilipuna,42,10.5,4.463105,0.294030986,340556,1.637404444,0.009,69.2380694,0.143474106,16609.28661,0.040992602,0.016705477
M. capitata,2014 Oct,Bleaching,Lilipuna,Bleaching-Lilipuna,43,18,6.378971,0.22640154,950556,1.737865833,0.009,296.5843817,1.006777033,20120.65559,0.097745343,0.01418966
M. capitata,2014 Oct,Bleaching,Lilipuna,Bleaching-Lilipuna,44,15,7.230467,0.255059831,1232222,1.506651667,0.011,197.0309678,0.17432486,10143.45666,0.224131962,0.013939056
M. capitata,2014 Oct,Bleaching,Lilipuna,Bleaching-Lilipuna,45,13.5,6.201576,0.373055006,385000,1.681973333,0.01,209.6505,0.448533379,17186.73222,0.213587323,0.015124327
M. capitata,2014 Oct,Bleaching,Reef 14,Bleaching-Reef 14,46,9,4.569542,0.185929446,444444,0.869329167,0.01,206.3728824,0.280169562,16927.06155,0.627579818,0.013192868
M. capitata,2014 Oct,Bleaching,Reef 14,Bleaching-Reef 14,47,13,9.678518,0.320489388,376667,1.367923333,0.01,332.9097195,0.685634077,11105.811,0.966417556,0.01117051
M. capitata,2014 Oct,Bleaching,Reef 14,Bleaching-Reef 14,48,30,17.306503,0.270250484,1305556,2.011043333,0.01,325.6181159,0.300084684,19787.21002,0.734324874,0.013587775
M. capitata,2014 Oct,Bleaching,Reef 14,Bleaching-Reef 14,49,27.5,12.233006,0.307344334,270476,1.202400833,0.023,169.6094066,1.005516525,14353.84184,0.25741223,0.012366928
M. capitata,2014 Oct,Bleaching,Reef 14,Bleaching-Reef 14,50,13,5.314601,0.157738907,517778,1.834114167,0.009,179.1520481,0.364980807,10350.49128,0.145992323,0.014705995
M. capitata,2014 Oct,Bleaching,Reef 14,Bleaching-Reef 14,51,14,5.030769,0.174542618,519444,2.373154167,0.009,123.5573,0.311201,9578.240504,0.147532326,0.009511731
M. capitata,2014 Oct,Bleaching,Reef 14,Bleaching-Reef 14,52,8.5,3.966399,0.234503817,635556,1.694554167,0.01,182.6747658,NA,9354.500611,0.865882532,0.012569073
M. capitata,2014 Oct,Bleaching,Reef 14,Bleaching-Reef 14,53,17,8.081963,0.201411606,339444,1.953420833,0.006,286.1181703,0.371504839,21781.27148,0.402099355,0.012935809
M. capitata,2014 Oct,Bleaching,Reef 14,Bleaching-Reef 14,54,9.5,3.540651,0.183155299,612778,1.954884167,0.008,107.3192323,1.377842683,12619.74501,0.166622836,0.019862966
M. capitata,2014 Oct,Bleaching,Reef 14,Bleaching-Reef 14,55,14.5,6.982114,0.214962787,363889,1.279751111,0.009,52.20735396,0.005393195,7231.406547,0.621296055,0.011080084
M. capitata,2014 Oct,Bleaching,Reef 14,Bleaching-Reef 14,56,9.5,3.824483,0.146255776,140556,1.062577222,0.008,56.43530437,0.123148301,15382.09264,0.232862242,0.017568602
M. capitata,2014 Oct,Bleaching,Reef 14,Bleaching-Reef 14,57,14,10.813846,0.166919509,774444,2.8547225,0.011,179.5480104,0.946399543,13488.00971,1.851501651,0.010375506
M. capitata,2014 Oct,Bleaching,Reef 14,Bleaching-Reef 14,58,14,7.230467,0.193793267,679444,1.9263925,0.008,244.2402719,1.45688172,12279.40669,0.733140479,0.01282793
M. capitata,2014 Oct,Bleaching,Reef 14,Bleaching-Reef 14,59,20,9.643039,0.312072904,762222,2.799356667,0.011,213.0119549,0.499185361,23234.63815,0.295813547,0.015266033
M. capitata,2014 Oct,Bleaching,Reef 14,Bleaching-Reef 14,60,23.5,19.151411,0.24423139,392778,2.384271667,0.011,125.7332194,0.908324789,31258.33581,0.662542787,0.011370156
M. capitata,2014 Oct,Bleaching,Reef 14,Bleaching-Reef 14,61,14.5,5.882265,0.14981615,427222,1.482405,0.007,185.9970571,0.614057585,20763.3604,0.245623034,0.019023462
M. capitata,2014 Oct,Bleaching,Reef 14,Bleaching-Reef 14,62,11.5,3.682567,NA,523333,1.648727222,0.009,121.2397507,0.62481329,16916.22019,0.219446619,0.016456068
M. capitata,2014 Oct,Bleaching,Reef 14,Bleaching-Reef 14,63,17.5,13.545729,0.273801481,905556,1.777863333,0.01,123.0401257,0.057629815,13121.56963,0.202856948,0.018500104
M. capitata,2014 Oct,Bleaching,Reef 14,Bleaching-Reef 14,64,12.5,4.001878,0.202124239,551111,1.277419167,0.009,159.8895014,0.835915741,16788.18508,0.254755274,0.013714432
M. capitata,2014 Oct,Bleaching,Reef 14,Bleaching-Reef 14,65,10,5.066248,0.152335724,361667,1.384724167,0.008,113.6918311,1.011723417,25791.62656,2.266260454,0.023786736
M. capitata,2014 Oct,Bleaching,Reef 14,Bleaching-Reef 14,66,10,5.101727,0.212353861,330556,3.212216667,0.011,86.26575563,0.521644251,8549.557206,0.143031488,0.017186393
M. capitata,2014 Oct,Bleaching,Reef 14,Bleaching-Reef 14,67,19.5,7.975526,0.253026018,1286667,3.602605,0.01,88.12885419,0.423554679,9545.190376,0.231029825,0.014200448
M. capitata,2014 Oct,Bleaching,Reef 14,Bleaching-Reef 14,68,28,18.654705,0.252318163,583333,1.465915833,0.011,113.2830211,1.766084814,13455.4411,0.147173734,0.007109288
M. capitata,2014 Oct,Bleaching,Reef 14,Bleaching-Reef 14,69,21,23.337933,0.313370638,1276111,3.310330833,0.011,103.3159507,NA,9331.758705,0.256392241,0.010091349
M. capitata,2014 Oct,Bleaching,Reef 14,Bleaching-Reef 14,70,35.5,13.935998,0.240866593,459444,2.48852,0.009,135.7788051,1.515148085,4546.197699,0.149109812,0.00895717
M. capitata,2014 Oct,Bleaching,Reef 14,Bleaching-Reef 14,71,12,7.194988,0.248306986,656111,2.113204167,0.01,180.6235662,0.009699822,15127.68987,0.446191801,0.013688325
M. capitata,2014 Oct,Bleaching,Reef 14,Bleaching-Reef 14,72,18,25.289278,0.273966722,449444,0.8610925,0.011,106.0056707,0.145934137,17036.25269,0.103012332,0.009968954
M. capitata,2014 Oct,Bleaching,Reef 14,Bleaching-Reef 14,73,16,11.310552,0.202862692,527778,2.07192,0.009,113.396989,0.878692492,5901.734135,0.103782578,0.00853905
M. capitata,2014 Oct,Bleaching,Reef 14,Bleaching-Reef 14,75,12,6.343492,0.274568684,379444,1.611541667,0.009,187.1225361,0.118165571,13292.12714,0.08123883,0.015659455
M. capitata,2014 Oct,Bleaching,Reef 14,Bleaching-Reef 14,76,13.5,9.749476,0.308485867,428889,2.13973,0.012,100.7732383,0.285130039,12436.77496,0.174966161,0.013468373
M. capitata,2014 Oct,Bleaching,Reef 14,Bleaching-Reef 14,77,23,8.365795,0.15932374,364444,1.9760075,0.01,99.20207397,0.763843405,24756.44433,0.273375534,0.016246215
M. capitata,2014 Oct,Bleaching,Reef 14,Bleaching-Reef 14,78,12.5,6.520887,0.230897895,277222,1.452451667,0.01,139.3931687,1.323846189,15915.19923,0.168812601,0.016046575
M. capitata,2014 Oct,Bleaching,Reef 14,Bleaching-Reef 14,79,8.5,8.685106,0.274130282,291667,1.513388333,0.011,162.6213311,0.451311347,18824.82139,0.444864042,0.012275891
M. capitata,2014 Oct,Bleaching,Reef 14,Bleaching-Reef 14,80,14,13.51025,0.215303256,391111,1.3164875,0.01,42.61796123,0.960293914,11373.52782,0.234402451,0.018591986
M. capitata,2014 Oct,Bleaching,Reef 14,Bleaching-Reef 14,81,12.5,10.352619,0.260171984,970476,2.100775833,0.01,159.9968507,0.423554679,14780.43602,0.308039767,0.019667256
M. capitata,2014 Oct,Bleaching,Reef 14,Bleaching-Reef 14,82,9,5.633912,0.19829703,182778,0.655671667,0.008,73.42920063,0.136426904,12340.74835,0.196113674,0.025961587
M. capitata,2014 Oct,Bleaching,Reef 14,Bleaching-Reef 14,83,18.5,13.616687,0.174289989,1190556,2.4866475,0.011,NA,1.86546484,11970.45601,0.137913743,0.009900136
M. capitata,2014 Oct,Bleaching,Reef 14,Bleaching-Reef 14,84,12,8.365795,0.273658262,1133333,3.495085833,0.011,95.40159667,0.802286713,12208.51411,0.11142871,0.015988889
M. capitata,2014 Oct,Bleaching,Reef 14,Bleaching-Reef 14,85,9,4.888853,0.275020352,438333,2.417005833,0.01,152.6035622,0.299838051,12227.43255,0.0946857,0.016044631
M. capitata,2015 Feb,Recovery,Lilipuna,Recovery-Lilipuna,1,20,21.564495,0.619,1666667,3.045,0.011,33.99263199,0.316836148,11645.8734,0.788569969,0.000254195
M. capitata,2015 Feb,Recovery,Lilipuna,Recovery-Lilipuna,2,10.5,9.094484,0.194,1105000,2.362,0.008,84.92954327,0.333864685,20351.79742,0.805726773,0.00015278
M. capitata,2015 Feb,Recovery,Lilipuna,Recovery-Lilipuna,3,12.5,5.949229,0.206,486667,2.666,0.006,84.34976864,0.432473784,26104.04265,1.495747713,0.000128571
M. capitata,2015 Feb,Recovery,Lilipuna,Recovery-Lilipuna,4,13.5,6.134244,0.28,1380000,2.108,0.008,94.06108382,0.265711678,32858.55324,2.14236553,0.000106465
M. capitata,2015 Feb,Recovery,Lilipuna,Recovery-Lilipuna,5,15.5,11.055643,0.357,870000,1.803,0.012,132.1885444,0.362034672,19769.61375,1.313818577,0.0001975
M. capitata,2015 Feb,Recovery,Lilipuna,Recovery-Lilipuna,6,12,6.94831,0.253,1161667,1.828,0.01,189.1328274,0.269796258,25182.36288,1.928143924,0.000118512
M. capitata,2015 Feb,Recovery,Lilipuna,Recovery-Lilipuna,7,12,7.207331,0.298,630000,2.079,0.01,44.13765752,0.204333586,12602.60371,0.809550208,0.000169967
M. capitata,2015 Feb,Recovery,Lilipuna,Recovery-Lilipuna,8,22,25.412807,0.406,1151667,2.466,0.009,144.4975269,0.22132967,38354.27588,2.048880376,0.000164318
M. capitata,2015 Feb,Recovery,Lilipuna,Recovery-Lilipuna,9,15,10.130568,0.448,1166667,2.061,0.009,86.84402677,0.056727981,24460.88712,1.5379586,0.000282145
M. capitata,2015 Feb,Recovery,Lilipuna,Recovery-Lilipuna,10,21.5,12.905793,0.357,1060000,2.834,0.011,98.74020555,1.028930932,18870.06599,1.028930932,0.000190584
M. capitata,2015 Feb,Recovery,Lilipuna,Recovery-Lilipuna,11,15,6.060238,0.243,588333,2.533,0.01,92.31604067,1.149495821,18417.40032,1.053704503,0.000349978
M. capitata,2015 Feb,Recovery,Lilipuna,Recovery-Lilipuna,12,12,5.875223,0.243,813333,1.15,0.009,115.870736,0.1483467,27323.16717,1.294148354,0.000276376
M. capitata,2015 Feb,Recovery,Lilipuna,Recovery-Lilipuna,13,22.5,18.863276,0.281,1340000,2.815,0.01,137.1395615,1.287060585,32962.35069,1.828151362,0.000309345
M. capitata,2015 Feb,Recovery,Lilipuna,Recovery-Lilipuna,14,15,13.349829,0.37,1240000,4.378,0.01,92.52832755,3.816886916,24875.87095,1.28189787,0.000488936
M. capitata,2015 Feb,Recovery,Lilipuna,Recovery-Lilipuna,15,16,18.78927,0.38,1336667,4.041,0.012,74.21976605,0.966123782,19705.3758,1.000967591,0.000336626
M. capitata,2015 Feb,Recovery,Lilipuna,Recovery-Lilipuna,16,13.5,6.319259,0.222,700000,1.991,0.008,93.11562999,0.151274616,20784.3909,1.159772059,0.000219831
M. capitata,2015 Feb,Recovery,Lilipuna,Recovery-Lilipuna,17,21.5,15.051967,0.267,863333,1.516,0.012,46.95628642,0.164561098,13852.46515,0.789893271,0.000203024
M. capitata,2015 Feb,Recovery,Lilipuna,Recovery-Lilipuna,18,21.5,17.790189,0.367,1033333,3.356,0.01,106.4770722,0.223822935,25613.09907,1.689117083,0.000215232
M. capitata,2015 Feb,Recovery,Lilipuna,Recovery-Lilipuna,19,17.5,21.120459,0.464,1410000,6.348,0.011,74.93643749,0.050748318,15774.40995,1.132895774,0.00017251
M. capitata,2015 Feb,Recovery,Lilipuna,Recovery-Lilipuna,20,15.5,9.871547,0.312,1211667,2.408,0.008,45.17494694,0.658013458,25081.22175,1.214794076,0.000304981
M. capitata,2015 Feb,Recovery,Lilipuna,Recovery-Lilipuna,21,10,8.613445,0.299,1508333,3.098,0.011,88.27436966,0.402384554,20618.75965,1.111177494,0.000284362
M. capitata,2015 Feb,Recovery,Lilipuna,Recovery-Lilipuna,22,18.5,8.354424,0.116,551667,1.344,0.008,89.36405997,0.397985761,44908.78039,2.527812591,0.00017629
M. capitata,2015 Feb,Recovery,Lilipuna,Recovery-Lilipuna,23,12.5,13.090808,0.222,1055000,2.113,0.011,194.5226276,0.945364565,40730.49156,2.62181106,0.000174504
M. capitata,2015 Feb,Recovery,Lilipuna,Recovery-Lilipuna,24,32.5,38.067833,0.316,1048333,3.735,0.013,132.4859276,0.452801779,34638.76077,2.155560073,0.000234557
M. capitata,2015 Feb,Recovery,Lilipuna,Recovery-Lilipuna,25,22.5,22.970609,0.304,1430000,2.393,0.011,91.71688362,0.248312518,27768.10235,1.219490367,0.000256651
M. capitata,2015 Feb,Recovery,Lilipuna,Recovery-Lilipuna,26,12,11.277661,0.344,1408333,3.699,0.009,145.3986427,0.671079935,36803.27455,1.672836938,0.000262038
M. capitata,2015 Feb,Recovery,Lilipuna,Recovery-Lilipuna,27,12,8.169409,0.338,981667,3.026,0.009,83.4355515,0.525771595,21557.1535,1.094509472,0.000283712
M. capitata,2015 Feb,Recovery,Lilipuna,Recovery-Lilipuna,28,19,30.519221,0.486,1231667,3.828,0.013,91.7284532,3.160378238,11125.83591,0.81496048,0.000327269
M. capitata,2015 Feb,Recovery,Lilipuna,Recovery-Lilipuna,29,22,30.556224,0.464,1040000,3.14,0.01,61.25257698,0.580100733,23937.18784,0.80247268,0.000733887
M. capitata,2015 Feb,Recovery,Lilipuna,Recovery-Lilipuna,30,22.5,18.012207,0.415,1225000,3.242,0.012,69.85281579,0.185718596,34804.98129,1.139074058,0.000235574
M. capitata,2015 Feb,Recovery,Lilipuna,Recovery-Lilipuna,31,17.5,14.052886,0.319,1268333,3.966,0.009,72.58312013,0.804749166,27948.43974,1.458016137,0.000437678
M. capitata,2015 Feb,Recovery,Lilipuna,Recovery-Lilipuna,32,16,18.974285,0.431,1650000,3.733,0.011,103.0960797,1.343334943,26313.6828,1.111009382,0.000329975
M. capitata,2015 Feb,Recovery,Lilipuna,Recovery-Lilipuna,33,17.5,11.832706,0.257,1475000,2.974,0.01,130.2500858,0.726986966,29934.52327,1.405508134,0.000192864
M. capitata,2015 Feb,Recovery,Lilipuna,Recovery-Lilipuna,34,18,12.979799,0.237,966667,1.646,0.009,72.69352356,0.486468449,28116.01997,1.316233332,0.000214588
M. capitata,2015 Feb,Recovery,Lilipuna,Recovery-Lilipuna,35,13,6.800298,0.159,1126667,2.823,0.011,113.2690024,1.075029827,40487.22348,2.251238932,0.000155994
M. capitata,2015 Feb,Recovery,Lilipuna,Recovery-Lilipuna,36,17,16.680099,0.354,1058333,2.803,0.009,109.2782059,0.391168484,19610.89985,0.982267527,0.000308523
M. capitata,2015 Feb,Recovery,Lilipuna,Recovery-Lilipuna,37,27.5,27.410969,0.312,1130000,4.275,0.01,0.200331405,0.19965169,17876.05781,0.645984135,0.000255859
M. capitata,2015 Feb,Recovery,Lilipuna,Recovery-Lilipuna,38,18.5,13.571847,0.483,1451667,3.616,0.011,74.14009053,0.751971411,18446.21323,0.53192083,0.000417293
M. capitata,2015 Feb,Recovery,Lilipuna,Recovery-Lilipuna,39,25,25.523816,0.461,1813333,3.897,0.011,90.72941846,0.382472499,24909.82252,1.356502462,0.000439562
M. capitata,2015 Feb,Recovery,Lilipuna,Recovery-Lilipuna,40,22.5,20.602417,0.335,1008333,1.249,0.01,88.33797234,1.057945609,28630.81083,1.777651977,0.000240189
M. capitata,2015 Feb,Recovery,Reef 14,Recovery-Reef 14,41,16.5,9.760538,0.257,1265000,3.569,0.012,198.7817003,0.554333318,20368.88511,1.600703447,0.000392544
M. capitata,2015 Feb,Recovery,Reef 14,Recovery-Reef 14,42,20,12.091727,0.202,708333,2.76,0.009,57.60245498,1.635158307,19790.35665,1.432099433,0.000377734
M. capitata,2015 Feb,Recovery,Reef 14,Recovery-Reef 14,43,11,3.211007,0.113,955000,1.469,0.008,86.46293246,0.449712769,29728.19028,1.615810091,0.000836364
M. capitata,2015 Feb,Recovery,Reef 14,Recovery-Reef 14,44,15,9.353505,0.333,1635000,2.96,0.01,139.0614702,NA,21690.70587,1.249281477,0.001341637
M. capitata,2015 Feb,Recovery,Reef 14,Recovery-Reef 14,45,14,8.724454,0.16,1018333,2.157,0.008,117.6221139,0.626697675,27085.03352,1.353127883,0.000691578
M. capitata,2015 Feb,Recovery,Reef 14,Recovery-Reef 14,46,11,8.650448,0.255,1061667,2.722,0.009,61.32006161,1.420145588,29499.36522,2.543638542,0.000496642
M. capitata,2015 Feb,Recovery,Reef 14,Recovery-Reef 14,47,14,4.173085,0.061,292778,0.938,0.008,24.11469894,0.638635183,13513.87379,0.877491957,0.000602017
M. capitata,2015 Feb,Recovery,Reef 14,Recovery-Reef 14,48,16.5,8.169409,0.302,900000,2.036,0.01,148.9653174,0.574107396,24982.2032,1.937244443,0.000229793
M. capitata,2015 Feb,Recovery,Reef 14,Recovery-Reef 14,49,18.5,15.08897,0.286,1138333,3.632,0.01,77.68920011,0.20660371,17926.00936,1.159021308,0.00029454
M. capitata,2015 Feb,Recovery,Reef 14,Recovery-Reef 14,50,14.5,8.243415,0.333,753333,2.82,0.01,109.9078368,0.270191185,19691.32804,1.357347544,0.000262431
M. capitata,2015 Feb,Recovery,Reef 14,Recovery-Reef 14,51,12.5,8.317421,0.185,1160000,2.922,0.009,174.9634443,1.361258206,19053.2567,1.861987695,0.000236132
M. capitata,2015 Feb,Recovery,Reef 14,Recovery-Reef 14,52,18,12.535763,0.31,987143,3.245,0.01,62.24002862,0.198160404,19443.87255,1.646469604,0.000936336
M. capitata,2015 Feb,Recovery,Reef 14,Recovery-Reef 14,53,11.5,3.951067,0.104,266111,0.763,0.008,90.98570789,0.320957372,33030.0981,2.649171957,0.000195986
M. capitata,2015 Feb,Recovery,Reef 14,Recovery-Reef 14,54,14.5,6.171247,0.201,1746667,3.609,0.009,163.5855314,0.756019434,19318.24284,1.608041335,0.000533129
M. capitata,2015 Feb,Recovery,Reef 14,Recovery-Reef 14,55,28,21.194465,0.305,973333,3.838,0.008,23.991763,0.374111435,10513.04117,0.972374024,0.000233361
M. capitata,2015 Feb,Recovery,Reef 14,Recovery-Reef 14,56,15,7.429349,0.241,710000,3.202,0.01,90.41038272,0.501549371,14353.78295,1.259000377,0.000277439
M. capitata,2015 Feb,Recovery,Reef 14,Recovery-Reef 14,57,12.5,6.985313,0.245,528333,2.033,0.01,83.6099899,0.13554971,16966.69219,1.138617568,0.000368376
M. capitata,2015 Feb,Recovery,Reef 14,Recovery-Reef 14,58,22,12.905793,0.377,926667,3.763,0.008,188.7551357,1.376906539,21787.22911,1.764347773,0.000461935
M. capitata,2015 Feb,Recovery,Reef 14,Recovery-Reef 14,59,15,11.906712,0.401,1161667,2.516,0.008,150.5547962,0.379077041,34066.57912,1.826790311,0.000311885
M. capitata,2015 Feb,Recovery,Reef 14,Recovery-Reef 14,60,15.5,12.165733,0.351,1060000,3.493,0.01,174.1519956,1.779436982,21322.95769,1.432099433,0.000616098
M. capitata,2015 Feb,Recovery,Reef 14,Recovery-Reef 14,61,15.5,10.500598,0.334,685000,2.597,0.01,110.6018591,0.793047808,17190.80564,1.094498729,0.00114313
M. capitata,2015 Feb,Recovery,Reef 14,Recovery-Reef 14,62,13.5,6.615283,0.183,563333,1.774,0.01,39.8187562,0.649095795,33856.22183,2.155784823,0.00067225
M. capitata,2015 Feb,Recovery,Reef 14,Recovery-Reef 14,63,12.5,6.726292,0.275,813333,2.091,0.01,88.61055073,0.451194873,15900.54613,1.206624004,0.00024602
M. capitata,2015 Feb,Recovery,Reef 14,Recovery-Reef 14,64,16.5,9.205493,0.351,745000,2.435,0.01,50.20477809,0.416833216,11982.45855,0.716335601,0.000395547
M. capitata,2015 Feb,Recovery,Reef 14,Recovery-Reef 14,65,13.5,11.38867,0.241,600000,2.062,0.007,26.40028092,0.191151888,13921.61571,1.149547909,0.000283377
M. capitata,2015 Feb,Recovery,Reef 14,Recovery-Reef 14,66,14.5,11.832706,0.299,763333,1.884,0.01,40.59349089,0.266429253,15302.95065,1.10903884,0.001245574
M. capitata,2015 Feb,Recovery,Reef 14,Recovery-Reef 14,67,12,5.394184,0.265,1041667,2.633,0.009,82.07589716,0.13255171,27841.44769,2.200358385,0.000247354
